mlplink,tmc
3655798167039863843,119N04676
3676649138046376335,119P05909
3686906052523485481,119-04430
3662036950636398475,119P05952
3666825989494436791,119P07153
3672514944261359742,119N04386
3663361917979225382,119N04658
3670959775254725411,119N06950
3654970625626668361,119+08605
3665806858181079895,119P05917
3664728615229666834,119N04598
3664600324556446668,119N04590
3668155908937979184,119N04576
3669359350183388041,119P16784
3652640640226673754,119N04668
3670795071851890140,119P17219
3664989220959118599,119N13003
3666200083910883605,119N17325
3668576167194233360,119P05957
3672836280828564560,119P14223
3677904922057934700,119+05904
3656628319793408450,119-08549
3677949740041588655,119N16976
3663607126256063235,119N05921
3669108485438768935,119+05923
3661547947134894635,119+05951
3664997621915075160,119P17391
3673293192334898490,119+04682
3659538439308244810,119-04671
3669525153101514802,119N04373
3666693223464688528,119P04683
3672292340399441904,119P14197
3664866689840006280,119N05920
3669802857098067510,119P17319
3670163243508590205,119N04569
3671844044600762076,119P14319
3678328805264535792,119-17112
3650413502116299375,119+04459
3669192044027484980,119N04687
3664911817060384171,119+05951
3668394932458692027,119P17241
3668547927784145030,119N05956
3678180375490255338,119P04627
3668392514391114247,119P17204
3674354109387547121,119+04390
3672614338392580805,119N14197
3676232865518552594,119N11391
3684803021788213399,119-07043
3664677754225963155,119N13004
3663327034255154475,119P04661
3665016884843388130,119P07008
3672364813677994466,119N14229
3674061055178911565,119+17268
3650350421931629489,119-05037
3664046780582630235,119N05953
3669791660118316121,119N17319
3669554908635241730,119-04544
3658564392266967404,119+04461
3671834587082757712,119N14319
3678152114605451149,119P06998
3668222090089040170,119+04547
3665242435053335280,119P05954
3662871127773080691,119-04587
3666195359444983025,119+07010
3666824151247409302,119+04415
3668561907902780895,119N05957
3678864095629287226,119-14291
3674676253407510334,119+04709
3666676009236310976,119+13795
3676796618633041736,119N05908
3664596514917834440,119-04654
3665808876815687116,119N05917
3664885995715917710,119N04466
3668213302586609845,119-04579
3671185583163254296,119N04680
3677138674123308563,119+05908
3663329727199375161,119-04658
3680192979986329635,119N07043
3663134520939797887,119N04477
3668847480276308105,119-13791
3670493307450448414,119N17226
3665747922637617069,119-04586
3665050943936973950,119+17342
3671818987761702870,119N08559
3678888018597143825,119-14291
3672267025862192815,119N04677
3668204364759660626,119N17194
3685059830766574204,119N04431
3663347547022499639,119P05920
3665819163260167915,119P04610
3668559043159407397,119P17251
3671408423248018049,119N08559
3672337317298446012,119P04682
3668561890722887047,119N05957
3686434980511642914,119-09613
3675757687519827912,119N17299
3684876560218252165,119+09614
3671759145981790572,119N17281
3661758018280309169,119+05951
3665671974733134110,119-05921
3685823059339964600,119N04431
3664184734932750500,119+05921
3668574685430421810,119+05957
3671313371326110720,119P04569
3685707344332242791,119+09614
3668272787883675314,119N04580
3659407000424074921,119+04671
3688151073348275690,119N04430
3669488083238115833,119N04419
3670116063292048650,119-12928
3670146763718279454,119P04679
3666189655727502892,119+17162
3669677504178571800,119P06950
3678868936057429032,119+16948
3668210214503445455,119-04419
3668742081779005290,119+04370
3672209868437497202,119N16873
3650439679941979590,119-05037
3667220868787154930,119P04474
3658244838106875997,119+07076
3668152919639695295,119-04418
3675665006420996039,119P05940
3670643571175388408,119-04679
3667539856006443575,119+17162
3667736144605536639,119P05917
3668773628313747500,119N07152
3673403564405126900,119P09647
3662219207570692825,119P13882
3669613620839001570,119-04572
3658705237129469715,119N14054
3661320618810881109,119N05951
3663390256173416484,119-07109
3670446470829232515,119N14251
3672522396029256082,119+12929
3658337952998419655,119N17472
3665541669718717614,119-04598
3672623967709254187,119N04677
3670507012691138915,119P17298
3671766138188865559,119+17270
3685233961625653045,119N04431
3678161005186631704,119-05982
3672481422041599399,119N04386
3666946532045956697,119N04424
3669528361441100508,119N13019
3672687000650783519,119P04682
3661346109442702717,119+04561
3672789633187763436,119N14197
3668675698766305952,119N05957
3658371591185227747,119+04461
3669769992004324915,119P06950
3676354456042636148,119P14100
3664914900847529775,119N04556
3669347822492950489,119+04571
3670918711075603273,119+12929
3664943698600674438,119-07008
3671866734912564469,119P17281
3650320000678260885,119+04459
3668470854594477245,119N13795
3667786387128603165,119N16836
3668496602922914880,119N04687
3668411261923330795,119-04373
3678149327170835175,119-11392
3664194776566271506,119P04558
3664082643560125536,119P05921
3668918815388095561,119P16751
3672189759400617823,119N16873
3687978660477271717,119+09615
3664962647996439125,119-07008
3672166390483713414,119N16873
3657099220006513215,119P05966
3681867665042674845,119N14298
3670905065961305846,119P04632
3687010875496505205,119+09614
3669573729181621173,119P04373
3672261012909459355,119P04682
3672354505758144891,119N04388
3688645514278353115,119-04429
3668931983759343955,119-17319
3670173757587736834,119-12928
3670514808056808125,119P04570
3661000871380412335,119P07115
3669362640128351102,119+04723
3670963597776583519,119N14251
3668879499257483489,119-04427
3684729260019872495,119-07043
3666776764873570449,119P04468
3678063801488077025,119N17017
3660091850139310267,119P04402
3671764020769890970,119P05914
3665663986093967035,119P05917
3662160624219693284,119N05952
3670490807779432592,119+09648
3648164957886556255,119-05643
3666444196966402333,119P13794
3672647946511669075,119N04677
3649186743491206886,119N04665
3658682924774378000,119N14054
3665780981000880850,119-04722
3669234289327953472,119N05917
3664910047532772085,119N04466
3663324306950673570,119N07110
3678895083818345685,119+16948
3666292116468253676,119P07010
3659653273848224247,119P04400
3663253027675158444,119P04465
3670585159620141946,119P04679
3672300629686733662,119P14229
3676599531174091909,119N05909
3669126275193253956,119P12427
3665707043139473330,119N04598
3664882430894771278,119N04556
3672904849981943100,119P04682
3672348222220429195,119P17219
3668160182431700849,119N05917
3672515317923151865,119P07137
3672900713926891885,119N14197
3670995586692031995,119N06951
3680901756963994510,119-16952
3668185754665703770,119P04546
3656063604608551163,119P04675
3681191800400806729,119+16950
3664107464176131395,119+05921
3665716938743383240,119N04607
3672360153640018738,119P17285
3669583629080514620,119N13036
3674045421497954255,119+17268
3668552158326721475,119+17251
3656240217959270842,119P14029
3657988136504230419,119P07047
3672624148099851050,119P17285
3661250451930232013,119P14313
3668298798204285089,119P14040
3656670152774860954,119N08549
3671067368480557696,119P04633
3680450643664350552,119N07043
3665993105139090310,119P13864
3669093526067623926,119N12427
3669406861111619831,119P04722
3665566017889415160,119P05954
3669133005407038445,119P04725
3669777680000307286,119N05917
3669843581974924687,119N14248
3672487104281854324,119-04441
3677432028981774312,119+04392
3678939304801570082,119-14291
3676072620288873031,119N11392
3668253464825183220,119-04547
3663341396625503895,119N04658
3665776475581583006,119P04552
3667880764742903051,119P17204
3669841790974123696,119-07146
3668338268954551490,119P04550
3664747830913349514,119N04598
3664329986431732329,119N05921
3664990784327168668,119-04408
3666984645585761310,119+04425
3668563539990417905,119N05957
3668776634791442410,119P17205
3671581978580262585,119N17200
3665721573013117296,119-04607
3669128156388874140,119-04421
3664887769539495633,119P05920
3667767222984535501,119+06949
3661042807442348539,119P04561
3670514159516718064,119-17268
3671034735319570857,119+04640
3668163004223919590,119P04545
3655230355183646686,119P04459
3655513350578787708,119P04459
3664904296573272552,119N04556
3649013012064062799,119-04664
3671232759084936307,119+04569
3678074272618315720,119+04709
3680566779579016511,119P04434
3664984865864593085,119P05954
3660974697848491540,119P04462
3668450380486987498,119N05917
3662770664193056228,119+04467
3672203825420763985,119-17268
3666988919078279597,119-07151
3665753407312229842,119N04552
3658507891969444549,119P17472
3664126881723272574,119P04558
3649822295571934525,119N04666
3665881461762996550,119N05917
3650268770308359951,119-05037
3676636961814070140,119N05909
3655459865351079551,119P04459
3669395148735796280,119P16784
3661128341715614303,119+04561
3672530930129619395,119P04386
3668436112601181256,119N06949
3651725786422825580,119-04667
3669503003955161794,119N13798
3677023921186182006,119N17007
3676800475511276547,119+05982
3664731338240653077,119P05921
3677360706752202380,119N14307
3667104771526190894,119P04474
3668626641649786592,119P05956
3670974695971108702,119N04632
3672878972804519270,119P17285
3675800065962638280,119+07266
3677576769376422426,119-06997
3664170475641328921,119P04558
3677447615415218570,119-05904
3667754346674843717,119N04685
3665786847928448783,119P05917
3678085997879047468,119N16943
3661134234408709494,119-04461
3669411044410054276,119N13792
3671038523480190288,119-04632
3663335366491468648,119N07110
3680068421639458854,119-16949
3670400553336793922,119N04570
3659717444954621497,119P17472
3665569492516860845,119-04598
3664824839678683277,119P05921
3672215116888661941,119N16919
3681163930358035836,119N07043
3669808341768658102,119N04645
3655550673843119120,119N04669
3665486818691385214,119N04599
3664983281019328852,119-07008
3672518728127574568,119N04386
3664184885256603367,119P04558
3668244166220948260,119+04596
3669433047527484007,119-07151
3685802679721295945,119+09614
3679823380870451619,119-16949
3668522428562878414,119N17319
3671853240125743473,119N17270
3676956679179654915,119N12929
3668874216447725100,119+13792
3687009715855337860,119-09613
3668413104461367793,119P06949
3669468747295361505,119-04419
3670644833895996310,119+04383
3664989345513206781,119+04410
3659627521224351849,119N17472
3665702155467500236,119N04552
3678101889258042475,119+04709
3678870757123572543,119-14291
3670660072439957060,119+12929
3663336315679359838,119N04660
3670561653264138182,119N16920
3663330079386704110,119-04658
3664996354899776850,119+04409
3663388125869687720,119N04658
3665781500691882820,119N04420
3666248857557641821,119N07010
3666813525498669264,119P12427
3666856019905118642,119N14048
3668449379757492380,119N04451
3654212855956333754,119P04459
3666226132885665535,119+07010
3676664071647660479,119P05909
3669601655060124015,119-04572
3664922073440329950,119N07008
